nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0004724	Christine Baranski	1952	\N	actress,soundtrack,producer	tt0795421,tt0111932,tt2180411,tt0299658
nm0004725	Charles Barkley	1963	\N	actor	tt0134269,tt0113097,tt0117705,tt0124718
nm0004726	Lance Bass	1979	\N	actor,producer,soundtrack	tt0279286,tt0322968,tt0257516,tt0196229
nm0004727	Kylie Bax	1975	\N	actress	tt0192071,tt0204175,tt0199650,tt0179477
nm0004728	Carole Bayer Sager	1947	\N	soundtrack,music_department,composer	tt0076752,tt0110216,tt0082031,tt0128853
nm0004729	Michael Beach	1963	\N	actor,producer	tt1477834,tt0197182,tt7125860,tt0120169
nm0004730	Orson Bean	1928	\N	actor,writer,soundtrack	tt0103405,tt0093260,tt0052561,tt0120601
nm0004731	Garcelle Beauvais	1966	\N	actress,producer	tt2250912,tt1907668,tt3507138
nm0004732	Boris Becker	1967	\N	actor	tt1842451,tt10467632,tt3152342,tt1842541
nm0004733	Walter Becker	1950	2017	soundtrack,composer,producer	tt0790736,tt0116695,tt0183505,tt0429493
